osmid,name,area,distance,water,university,centroid_long,centroid_lat,pixel_size,pixel_count,total_pixel_area
332072,Maharana Pratap Reservoir,232622475.6081592,34042.231935133444,reservoir,Arni University,76.05455293969767,31.996503961073472,15,1039287,233839575
357472,Jalaput Reservoir,82112140.78956616,107375.8059374187,reservoir,Andhra University,82.59608142416981,18.39592620140471,10,878103,87810300
1579454,Yeleru Reservoir,47535801.57975616,44401.00678283115,reservoir,Adikavi Nannaya University,82.06348580602044,17.322695232505996,5,1916439,47910975
1601368,Gobind Sagar,128878017.97585098,48946.63858861128,reservoir,Abhilashi University,76.54295053297236,31.385295002460893,20,324139,129655600
1606905,Shabd Lake,974131.6993290164,35061.56972186247,lake,Acharya Ng Ranga Agricultural University,78.12125595719915,17.157075082898547,5,39118,977950
1623305,,1246895.3922580783,74127.27113980326,reservoir,Anna University,79.55484324944139,12.960417576361037,5,49823,1245575
1624070,Pulicat Lake,560535302.2252151,69036.56640057202,lake,Anna University,80.16097958356342,13.630830831772233,25,1053149,658218125
2252564,Man Sagar,1091206.0991182984,32199.39408824866,lake,Amity University,75.84951024624827,26.956006970581853,5,43925,1098125
2810519,Indira Sagar,701878665.7108058,131506.80182962643,reservoir,Aisect University,76.66924078723258,22.195976318821813,25,1144148,715092500
5411363,Himayat Sagar,14869243.08698988,4929.035718745304,lake,Acharya Ng Ranga Agricultural University,78.35353829974278,17.3128601804119,5,602296,15057400
7876724,Singur Lake,133245896.3946643,78458.94050153093,reservoir,Acharya Ng Ranga Agricultural University,77.86234930210446,17.827607943833094,15,598628,134691300
7903593,,2172983.820619498,31631.87359514009,reservoir,Amrita Vishwa Vidyapeetham,76.77195352932537,10.587003050407526,5,87260,2181500
8026438,,55535655.944547005,98341.0468397178,reservoir,Anand Agricultural University,73.76598948338761,23.02323418332332,10,583661,58366100
8421510,Sukhna Lake,1362619.4655139486,49586.852110600215,lake,APG (Alakh Prakash Goyal) University,76.81995753813878,30.741407877314582,5,55657,1391425
16288976,Ban Sagar Lake,296463233.4957706,46613.07091481066,lake,AKS University,81.0500041553681,24.08554673406209,25,481959,301224375
25394523,Sholavaram Lake,6148573.632628919,25446.31035174072,reservoir,Anna University,80.14304744123292,13.222146140532637,5,246155,6153875
58680339,Tawa Reservoir,37970866.62692234,73757.68770684036,reservoir,Aisect University,78.09909862125663,22.565311432334163,10,361487,36148700
92001285,Meghadri Reservoir,7325989.491739335,16276.3880411499,reservoir,Andhra University,83.18146201064765,17.777339439651524,5,291566,7289150
115769453,Pedda Vagu Reservoir,2673053.0955180083,85589.54291779977,reservoir,Adikavi Nannaya University,81.16327247893501,17.41789282259894,5,106988,2674700
156782315,Kazhuveli Eri,72960733.77909967,78079.85955824758,lake,Annamalai University,79.85176033434549,12.109803005336094,10,729241,72924100
376637622,,978715.497156527,68687.76417615566,reservoir,Azim Premji University,77.7477151794203,13.46528191823,5,39072,976800
542065368,,1458307.579985345,45327.69855472278,lake,Acharya Nagarjuna University,80.13091913169568,16.540162352817454,5,58546,1463650
1273092884,,1076162.6785395965,14120.632506670683,pond,Acharya Nagarjuna University,80.56993870520999,16.582779839478878,5,43061,1076525
